,target,date,USE00020,price_open,price_high,price_low,price_close,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029751,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,USE00145_low,USE00145_high,USE00145_mean,PE100058,MA000001,d111,d112,d211,d221,d222,d511,d512,D521,D522,d611,d612,d711,MA5,MA6,MA10,MA15,QA,day,S0049493_2,S0049493_3,S0049493_4,S0029752_2,S0029752_3,S0029752_4
199,-1.0,2015-12-04,6.84,34530.0,34930.0,34330.0,34610.0,80.0,100.0,80.0,85.0,-1.0,1.75,34490.0,34820.0,4637.0,237625.0,211400.0,292994.0,172522.0,31897.0,34580.0,20.0,100.0,811654.0,10.0,70.0,40.0,1098727.0,922151.0,330.0,90.0,0.44481851657,0.0924432825958,172522.0,7324850.0,15.4126249342,2029135.0,11.7616014189,20.0,80.0,176576.0,34742.0,34843.3333333,34618.0,34782.6666667,1,4,64944.0,99921.0,140639.0,476875.0,716075.0,959100.0
200,0.0,2015-12-07,6.84,35000.0,35390.0,34600.0,35330.0,30.0,50.0,80.0,85.0,0.75,0.75,34950.0,35410.0,4592.5,235750.0,210700.0,293692.0,172522.0,29866.0,35020.0,-20.0,70.0,773338.0,-30.0,30.0,0.0,1098727.0,922151.0,460.0,40.0,0.446871686108,0.0865570767786,172522.0,7342300.0,15.5722163309,1933345.0,11.2063678835,20.0,90.0,176576.0,34860.0,34840.0,34800.0,34736.0,1,7,61763.0,94810.0,129787.0,473375.0,712625.0,951825.0
201,-1.0,2015-12-08,6.84,35070.0,35180.0,34580.0,34710.0,-20.0,0.0,80.0,85.0,3.75,3.75,34740.0,34990.0,4567.5,235725.0,210450.0,294375.0,172522.0,29143.0,34830.0,-50.0,30.0,808188.0,-50.0,0.0,-25.0,1098727.0,922151.0,250.0,-10.0,0.446388800509,0.0844616918422,172522.0,7359375.0,15.6100859052,2020470.0,11.7113759405,20.0,80.0,176576.0,34786.0,34835.0,34886.0,34718.6666667,1,8,59009.0,90906.0,123953.0,471475.0,709100.0,948350.0
202,-1.0,2015-12-09,6.84,34670.0,35060.0,34480.0,35010.0,30.0,50.0,80.0,85.0,2.5,4.25,34780.0,35190.0,4620.0,232700.0,210850.0,289679.0,172522.0,28569.0,34850.0,-20.0,50.0,816048.0,-30.0,20.0,-5.0,1098727.0,922151.0,410.0,40.0,0.453051138805,0.0827981358899,172522.0,7241975.0,15.5607541899,2040120.0,11.8252744578,20.0,70.0,176576.0,34810.0,34823.3333333,34925.0,34727.3333333,1,9,57712.0,87578.0,119475.0,468425.0,704175.0,941800.0
203,-1.0,2015-12-10,6.84,35090.0,35410.0,34870.0,34920.0,10.0,30.0,80.0,85.0,-0.5,1.75,35050.0,35280.0,4572.0,231925.0,210175.0,287561.0,172522.0,28469.0,35130.0,-20.0,50.0,814198.0,-50.0,10.0,-20.0,1098727.0,922151.0,230.0,20.0,0.453109841544,0.0825083177798,172522.0,7189025.0,15.4985986849,2035495.0,11.7984662826,20.0,70.0,176576.0,34916.0,34828.3333333,34903.0,34737.3333333,1,10,57038.0,86181.0,116047.0,464625.0,700350.0,936100.0
204,-1.0,2015-12-11,6.84,34900.0,36030.0,34880.0,35960.0,20.0,40.0,80.0,85.0,-2.0,-0.75,35300.0,35580.0,4667.0,232675.0,211550.0,295539.0,170407.0,27488.0,35400.0,-30.0,10.0,805900.0,-70.0,20.0,-25.0,1098727.0,922151.0,280.0,30.0,0.454604061459,0.0806539637456,170407.0,7388475.0,15.8772429354,2014750.0,11.8231645414,20.0,40.0,176576.0,35186.0,35090.0,34964.0,34807.3333333,1,11,55957.0,84526.0,113669.0,464600.0,697300.0,933025.0
205,0.0,2015-12-14,6.84,35870.0,36350.0,35730.0,36130.0,-40.0,-20.0,80.0,85.0,-8.5,-3.5,35980.0,36360.0,4640.0,232200.0,212350.0,292139.0,170407.0,27890.0,36060.0,-90.0,-30.0,785558.0,-140.0,-50.0,-95.0,1098727.0,922151.0,380.0,-30.0,0.45725667528,0.0818334927556,170407.0,7303475.0,15.7266903531,1963895.0,11.5247319652,20.0,60.0,176576.0,35346.0,35343.3333333,35103.0,34982.0,1,14,55378.0,83847.0,112416.0,464875.0,696800.0,929500.0
206,0.0,2015-12-15,6.84,35900.0,36260.0,35580.0,35620.0,40.0,60.0,80.0,85.0,-12.0,-9.5,35910.0,36240.0,4586.0,232650.0,213200.0,288549.0,170407.0,34398.0,35970.0,-230.0,-80.0,776650.0,-280.0,-150.0,-215.0,1098727.0,922151.0,330.0,50.0,0.458199011391,0.100928952449,170407.0,7213725.0,15.503384913,1941625.0,11.3940448456,20.0,150.0,176576.0,35528.0,35391.6666667,35157.0,35100.0,1,15,62288.0,89776.0,118245.0,464850.0,697525.0,929450.0
207,0.0,2015-12-16,6.84,35450.0,35650.0,35280.0,35450.0,0.0,40.0,80.0,85.0,-4.0,-9.0,35340.0,35530.0,4583.0,231775.0,210875.0,285840.0,170407.0,40898.0,35450.0,-50.0,50.0,779886.0,-60.0,20.0,-20.0,1098727.0,922151.0,190.0,20.0,0.4549131701,0.120000938929,170407.0,7146000.0,15.4158127494,1949715.0,11.4415194212,40.0,100.0,176576.0,35616.0,35515.0,35213.0,35155.3333333,1,16,75296.0,103186.0,130674.0,464425.0,696625.0,929300.0
208,0.0,2015-12-17,6.84,35460.0,35740.0,35110.0,35140.0,0.0,20.0,80.0,85.0,-2.0,-1.0,35320.0,35530.0,4550.0,231475.0,210875.0,284753.0,170407.0,40549.0,35450.0,-60.0,20.0,797426.0,-70.0,-10.0,-40.0,1098727.0,922151.0,210.0,10.0,0.455502754077,0.118976919962,170407.0,7118825.0,15.3770925586,1993565.0,11.698844531,20.0,80.0,176576.0,35660.0,35536.6666667,35288.0,35155.3333333,1,17,81447.0,115845.0,143735.0,463250.0,695900.0,928100.0
