,date,USE00020,PE100058,MA000001,price_open,price_high,price_low,price_close,PE100042,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029751,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,PE100035,PE100036,USE00145_low,USE00145_high,USE00145_mean,target
37,2016-06-03,6.62,999755.0,923516.0,35250.0,35760.0,35170.0,35720.0,1.20715,150.0,170.0,45.0,55.0,8.5,-1.0,35400.0,35510.0,4688.0,153675.0,103200.0,333145.0,210995.0,86221.0,35420.0,100.0,160.0,791012.0,7.5272,7.5144,90.0,140.0,115.0,0.0
39,2016-06-06,6.62,999755.0,923516.0,36110.0,36300.0,35800.0,36260.0,1.25928,130.0,150.0,45.0,55.0,0.5,-14.5,36070.0,36160.0,4706.0,174400.0,124450.0,333750.0,182338.0,83797.0,36080.0,100.0,140.0,767294.0,7.701,7.6882,90.0,120.0,105.0,1.0
40,2016-06-07,6.6,999755.0,923516.0,36150.0,36300.0,35800.0,35840.0,1.18882,160.0,180.0,35.0,55.0,-4.0,-24.25,36020.0,35990.0,4589.0,196225.0,146300.0,328011.0,182338.0,80976.0,36040.0,100.0,150.0,755432.0,7.8738,7.8519,110.0,140.0,125.0,1.0
41,2016-06-08,6.61,999755.0,923516.0,35340.0,35390.0,35100.0,35230.0,1.10697,160.0,180.0,45.0,55.0,-10.75,-27.25,35280.0,35470.0,4590.5,207300.0,159200.0,323576.0,182338.0,74984.0,35270.0,120.0,160.0,781966.0,7.7393,7.6913,100.0,160.0,130.0,0.0
44,2016-06-13,6.61,999755.0,923516.0,34880.0,35540.0,34850.0,35250.0,1.03802,160.0,180.0,45.0,55.0,-16.5,-38.75,35260.0,35460.0,4515.0,207625.0,168650.0,320456.0,166105.0,72661.0,35280.0,110.0,150.0,732910.0,7.787,7.7387,90.0,140.0,115.0,0.0
45,2016-06-14,6.63,999755.0,923516.0,35200.0,35540.0,35080.0,35110.0,0.9681,110.0,130.0,45.0,55.0,-14.75,-38.75,35310.0,35460.0,4510.5,203275.0,168650.0,315641.0,166105.0,72530.0,35320.0,80.0,120.0,729912.0,7.8185,7.772,50.0,110.0,80.0,1.0
46,2016-06-15,6.63,999755.0,923516.0,35100.0,35370.0,34980.0,35320.0,0.814512,30.0,50.0,45.0,55.0,-12.25,-31.0,35150.0,35370.0,4632.0,202150.0,165450.0,317831.0,166105.0,77824.0,35170.0,0.0,70.0,715704.0,7.6374,7.6137,0.0,70.0,35.0,0.0
47,2016-06-16,6.64,999755.0,923516.0,35890.0,36000.0,35330.0,35410.0,1.00086,110.0,130.0,45.0,55.0,-6.5,-22.75,35630.0,35710.0,4524.5,199025.0,161200.0,320293.0,166105.0,76026.0,35690.0,70.0,150.0,669616.0,7.8165,7.8011,80.0,120.0,100.0,1.0
48,2016-06-17,6.62,999755.0,923516.0,35210.0,35600.0,35160.0,35560.0,0.961263,120.0,140.0,45.0,55.0,-10.5,-20.0,35310.0,35420.0,4521.5,195925.0,155975.0,320235.0,166105.0,71726.0,35330.0,70.0,130.0,657280.0,7.8229,7.8098,80.0,120.0,100.0,0.0
50,2016-06-20,6.62,999755.0,923516.0,35410.0,35630.0,35320.0,35460.0,1.04118,140.0,160.0,45.0,55.0,-10.75,-20.5,35450.0,35530.0,4585.0,194025.0,151475.0,319967.0,155235.0,69705.0,35470.0,80.0,130.0,652328.0,7.6471,7.6363,80.0,120.0,100.0,0.0
