,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,USE00020,PE100058,price_open,price_close,MA5,MA10,MA15,d111,d112,d211,d221,d222,d511,d512,QA,PE100042
56,-60.0,0.0,55.0,65.0,-28.0,-57.0,58660.0,57940.0,330450.0,263500.0,246645.0,209096.0,66778.0,58660.0,-100.0,0.0,409332.0,6.85,818428.0,58850.0,58440.0,58416.0,57926.0,57826.6666667,720.0,-30.0,0.398698744137,0.159682633814,209096.0,6166125.0,9.32989105765,2,1.27756
57,-50.0,70.0,52.0,62.0,-32.0,-60.5,58480.0,57730.0,329725.0,266750.0,249091.0,209096.0,69686.0,58480.0,-50.0,70.0,406468.0,6.85,818428.0,58280.0,58520.0,58476.0,58104.0,57887.3333333,750.0,10.0,0.404503753128,0.166636377549,209096.0,6227275.0,9.44313443021,2,1.27756
58,20.0,100.0,52.0,62.0,-30.75,-62.75,58030.0,57350.0,333275.0,274425.0,244593.0,209096.0,74520.0,58030.0,0.0,120.0,421800.0,6.85,818428.0,58220.0,57700.0,58356.0,58189.0,57858.6666667,680.0,60.0,0.411709549171,0.178195661323,209096.0,6114825.0,9.17384292251,2,1.27756
59,-210.0,-150.0,52.0,62.0,-30.0,-60.5,58090.0,57630.0,349275.0,292825.0,243378.0,209096.0,77502.0,57990.0,-250.0,-150.0,402888.0,6.85,818428.0,57890.0,57940.0,58276.0,58228.0,57862.6666667,460.0,-180.0,0.419189750197,0.185326357271,209096.0,6084450.0,8.71011380717,2,1.27756
60,-150.0,-80.0,55.0,65.0,-27.75,-59.0,57810.0,57430.0,345925.0,293425.0,241313.0,209096.0,76652.0,57720.0,-200.0,-80.0,404856.0,6.85,818428.0,57890.0,57750.0,58070.0,58235.0,57869.3333333,380.0,-115.0,0.424116499241,0.183293798064,209096.0,6032825.0,8.7198453422,2,1.27756
61,-180.0,-80.0,55.0,65.0,-25.25,-60.0,58410.0,57860.0,345375.0,292550.0,244769.0,208568.0,74605.0,58270.0,-200.0,-80.0,406946.0,6.85,818428.0,58170.0,58380.0,58058.0,58237.0,57970.0,550.0,-130.0,0.423525153818,0.178850542749,208568.0,6119225.0,8.85881288455,2,1.27756
62,-180.0,-100.0,55.0,65.0,-28.0,-63.0,58430.0,57840.0,345525.0,294525.0,242839.0,208568.0,71832.0,58260.0,-200.0,-100.0,405210.0,6.85,818428.0,58380.0,58190.0,57992.0,58234.0,58066.6666667,590.0,-140.0,0.426199261993,0.172202830731,208568.0,6070975.0,8.78514579263,2,1.27756
63,-200.0,-120.0,53.0,63.0,-30.5,-62.0,58790.0,58130.0,342450.0,294550.0,243235.0,208568.0,70782.0,58560.0,-200.0,-110.0,425726.0,6.85,818428.0,58280.0,58690.0,58190.0,58273.0,58189.3333333,660.0,-160.0,0.430062782888,0.169685666066,208568.0,6080875.0,8.87848591035,2,1.27756
64,-250.0,-130.0,53.0,63.0,-30.0,-63.5,58770.0,58150.0,344925.0,299050.0,246218.0,208568.0,69630.0,58570.0,-250.0,-120.0,410998.0,6.85,818428.0,58750.0,58590.0,58320.0,58298.0,58258.6666667,620.0,-190.0,0.43350003624,0.166923976832,208568.0,6155450.0,8.9228817859,2,1.27756
65,-220.0,-120.0,53.0,63.0,-31.0,-65.5,58590.0,58050.0,344850.0,302050.0,248233.0,208568.0,68806.0,58420.0,-200.0,-100.0,407324.0,6.85,818428.0,58690.0,58630.0,58496.0,58283.0,58322.0,540.0,-170.0,0.437944033638,0.164948601895,208568.0,6205825.0,8.99786138901,2,1.27756
66,-180.0,-100.0,55.0,65.0,-32.25,-71.0,58830.0,58270.0,342900.0,302200.0,248491.0,205120.0,67951.0,58830.0,-200.0,-100.0,419832.0,6.85,818428.0,58610.0,58830.0,58586.0,58322.0,58353.3333333,560.0,-140.0,0.440653251677,0.165637187988,205120.0,6212275.0,9.05843540391,2,1.27756
67,-160.0,-100.0,50.0,60.0,-34.25,-71.25,58590.0,58070.0,341000.0,302300.0,247795.0,205120.0,67726.0,58590.0,-200.0,-80.0,420738.0,6.85,818428.0,58500.0,58620.0,58672.0,58332.0,58380.0,520.0,-130.0,0.443255131965,0.165088728549,205120.0,6194875.0,9.08339442815,2,1.27756
68,-170.0,-100.0,50.0,60.0,-34.5,-75.0,58690.0,58130.0,371750.0,334750.0,248702.0,205120.0,67525.0,58690.0,-170.0,-80.0,434064.0,6.85,818428.0,58690.0,58850.0,58704.0,58447.0,58416.6666667,560.0,-135.0,0.450235373235,0.164598771451,205120.0,6217550.0,8.36254203093,2,1.27756
69,-220.0,-120.0,50.0,60.0,-35.25,-75.5,59220.0,58580.0,371425.0,332825.0,251251.0,205120.0,67126.0,59220.0,-220.0,-100.0,449038.0,6.85,818428.0,58990.0,59260.0,58838.0,58579.0,58478.0,640.0,-170.0,0.448037961903,0.163626170047,205120.0,6281275.0,8.45564380427,2,1.27756
70,-250.0,-150.0,50.0,60.0,-36.75,-72.0,59560.0,58880.0,371750.0,335000.0,254086.0,205120.0,70075.0,59560.0,-250.0,-150.0,441172.0,6.85,735174.0,59590.0,59690.0,59050.0,58773.0,58538.6666667,680.0,-200.0,0.450571620713,0.170814645086,205120.0,6352150.0,8.54357767317,2,1.27756
71,-220.0,-140.0,50.0,60.0,-35.5,-73.5,59500.0,58830.0,376000.0,341400.0,258844.0,197091.0,69975.0,59500.0,-230.0,-120.0,448952.0,6.85,735174.0,59480.0,59660.0,59216.0,58901.0,58620.0,670.0,-180.0,0.453989361702,0.177519521439,197091.0,6471100.0,8.60518617021,3,1.27756
72,-260.0,-140.0,50.0,60.0,-37.75,-72.5,60050.0,59320.0,374200.0,341550.0,261427.0,197091.0,70400.0,60050.0,-250.0,-150.0,445710.0,6.85,735174.0,60020.0,59950.0,59482.0,59077.0,58715.3333333,730.0,-200.0,0.456373597007,0.178597703599,197091.0,6535675.0,8.73286344201,3,1.27756
73,-230.0,-130.0,50.0,60.0,-37.75,-71.0,59850.0,59070.0,385050.0,353775.0,263284.0,197091.0,70226.0,59850.0,-250.0,-130.0,443658.0,6.85,735174.0,59710.0,59750.0,59662.0,59183.0,58852.0,780.0,-180.0,0.459388391118,0.178156283138,197091.0,6582100.0,8.54707180886,3,1.27756
74,-230.0,-130.0,50.0,60.0,-37.25,-71.5,59890.0,59090.0,386500.0,353600.0,265341.0,197091.0,70450.0,59890.0,-250.0,-100.0,436388.0,6.85,735174.0,59850.0,59840.0,59778.0,59308.0,58978.6666667,800.0,-180.0,0.4574385511,0.178724548559,197091.0,6633525.0,8.58153298836,3,1.27756
75,-100.0,0.0,50.0,60.0,-35.5,-70.5,59590.0,58730.0,388900.0,356150.0,266752.0,197091.0,73471.0,59590.0,-100.0,50.0,434122.0,6.85,735174.0,59700.0,59700.0,59780.0,59415.0,59108.6666667,860.0,-50.0,0.45789406017,0.186388521039,197091.0,6668800.0,8.57392645924,3,1.27756
76,60.0,120.0,50.0,60.0,-34.5,-69.0,59730.0,58930.0,399825.0,367650.0,266652.0,196699.0,78978.0,59730.0,50.0,150.0,442184.0,6.85,735174.0,59550.0,59690.0,59786.0,59501.0,59196.0,800.0,90.0,0.459763646595,0.200758519362,196699.0,6666300.0,8.33652222847,3,1.27756
77,30.0,100.0,50.0,60.0,-33.75,-83.0,59170.0,58480.0,404300.0,374975.0,267151.0,196699.0,85333.0,59170.0,30.0,120.0,425522.0,6.85,735174.0,59730.0,58900.0,59576.0,59529.0,59243.3333333,690.0,65.0,0.463733613653,0.216912643176,196699.0,6678775.0,8.25967721989,3,1.27756
78,-200.0,-100.0,50.0,60.0,-34.25,-86.5,59020.0,58520.0,411250.0,383775.0,264134.0,196699.0,86207.0,58890.0,-200.0,-100.0,424726.0,6.85,735174.0,58840.0,58780.0,59382.0,59522.0,59249.3333333,500.0,-150.0,0.466595744681,0.219134311817,196699.0,6603350.0,8.02838905775,3,1.27756
79,-300.0,-200.0,50.0,60.0,-34.5,-89.5,58810.0,58350.0,412950.0,385850.0,261705.0,196699.0,85260.0,58700.0,-300.0,-150.0,429954.0,6.85,735174.0,58800.0,58660.0,59146.0,59462.0,59254.0,460.0,-250.0,0.467187310812,0.216727080463,196699.0,6542625.0,7.92181256811,3,1.27756
80,-220.0,-150.0,60.0,70.0,-28.75,-86.0,57700.0,57380.0,420250.0,393350.0,263833.0,196699.0,84038.0,57610.0,-250.0,-150.0,425448.0,6.85,735174.0,58010.0,57620.0,58730.0,59255.0,59186.6666667,320.0,-185.0,0.467995240928,0.213620811494,196699.0,6595825.0,7.84750148721,3,1.27756
81,-200.0,-100.0,60.0,70.0,-27.75,-80.0,57700.0,57390.0,424350.0,396575.0,263059.0,207709.0,83189.0,57620.0,-250.0,-100.0,451032.0,6.85,735174.0,57570.0,57620.0,58316.0,59051.0,59106.0,310.0,-150.0,0.467273477083,0.200253720349,207709.0,6576475.0,7.74888064098,3,1.27756
82,-200.0,-100.0,60.0,70.0,-24.5,-74.0,57300.0,57070.0,430725.0,402925.0,261799.0,207709.0,83111.0,57250.0,-200.0,-80.0,480094.0,6.85,735174.0,57400.0,57320.0,58000.0,58788.0,59019.3333333,230.0,-150.0,0.467728829299,0.200065957662,207709.0,6544975.0,7.59762609554,3,1.27756
83,-170.0,-70.0,60.0,70.0,-26.0,-72.5,57310.0,57060.0,438375.0,411000.0,262147.0,207709.0,80912.0,57310.0,-200.0,-80.0,495242.0,6.85,735174.0,57070.0,57130.0,57670.0,58526.0,58904.6666667,250.0,-120.0,0.46877673225,0.194772494211,207709.0,6553675.0,7.474964357,3,1.27756
84,-220.0,-120.0,60.0,70.0,-29.0,-73.5,57600.0,57320.0,444350.0,417625.0,259915.0,207709.0,81636.0,57600.0,-250.0,-100.0,499660.0,6.85,735174.0,57510.0,57490.0,57436.0,58291.0,58786.6666667,280.0,-170.0,0.469927984697,0.196515317102,207709.0,6497875.0,7.31166310341,3,1.27756
